'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:08.732',0.163,0.729,0.567,-0.446,-0.203,0.648,-0.513,0.372,1.672,1.753,1.275,0.856
'0:08.733',0.141,0.663,0.522,-0.401,-0.191,0.592,-0.513,0.281,1.556,1.625,1.162,0.781
'0:08.734',0.116,0.586,0.470,-0.351,-0.177,0.527,-0.503,0.188,1.425,1.487,1.034,0.694
'0:08.735',0.094,0.491,0.397,-0.292,-0.152,0.444,-0.488,0.125,1.300,1.337,0.900,0.600
'0:08.736',0.072,0.372,0.300,-0.222,-0.114,0.336,-0.463,0.063,1.156,1.159,0.756,0.494
'0:08.737',0.050,0.259,0.209,-0.154,-0.080,0.234,-0.438,0.000,1.006,0.975,0.606,0.387
'0:08.738',0.038,0.159,0.122,-0.098,-0.042,0.141,-0.409,-0.059,0.859,0.781,0.459,0.287
'0:08.739',0.022,0.072,0.050,-0.047,-0.014,0.061,-0.381,-0.125,0.706,0.606,0.331,0.200
'0:08.740',0.006,0.008,0.002,-0.007,0.002,0.005,-0.356,-0.203,0.538,0.431,0.213,0.125
'0:08.741',-0.016,-0.047,-0.031,0.031,0.008,-0.039,-0.331,-0.281,0.356,0.269,0.100,0.062
'0:08.742',-0.042,-0.098,-0.056,0.070,0.007,-0.078,-0.309,-0.397,0.153,0.119,-0.006,0.003
'0:08.743',-0.062,-0.141,-0.078,0.102,0.008,-0.109,-0.300,-0.500,-0.031,-0.019,-0.100,-0.044
'0:08.744',-0.075,-0.181,-0.106,0.128,0.016,-0.144,-0.297,-0.575,-0.178,-0.113,-0.162,-0.088
'0:08.745',-0.084,-0.216,-0.131,0.150,0.023,-0.174,-0.300,-0.625,-0.269,-0.175,-0.206,-0.113
'0:08.746',-0.078,-0.244,-0.166,0.161,0.044,-0.205,-0.300,-0.641,-0.309,-0.206,-0.219,-0.141
'0:08.747',-0.075,-0.259,-0.184,0.168,0.054,-0.222,-0.300,-0.631,-0.331,-0.225,-0.231,-0.150
'0:08.748',-0.074,-0.267,-0.193,0.171,0.059,-0.230,-0.294,-0.609,-0.334,-0.225,-0.234,-0.153
'0:08.749',-0.072,-0.269,-0.197,0.171,0.063,-0.233,-0.281,-0.581,-0.325,-0.231,-0.231,-0.150
'0:08.750',-0.072,-0.267,-0.195,0.169,0.061,-0.231,-0.263,-0.547,-0.316,-0.219,-0.222,-0.156
'0:08.751',-0.072,-0.259,-0.187,0.166,0.058,-0.224,-0.250,-0.519,-0.306,-0.206,-0.219,-0.156
'0:08.752',-0.070,-0.248,-0.178,0.159,0.054,-0.213,-0.228,-0.494,-0.288,-0.197,-0.206,-0.147
'0:08.753',-0.075,-0.241,-0.166,0.158,0.045,-0.203,-0.213,-0.469,-0.281,-0.194,-0.200,-0.144
'0:08.754',-0.069,-0.228,-0.159,0.149,0.045,-0.194,-0.191,-0.434,-0.272,-0.184,-0.194,-0.141
'0:08.755',-0.066,-0.212,-0.147,0.139,0.041,-0.180,-0.169,-0.400,-0.256,-0.181,-0.188,-0.138
'0:08.756',-0.061,-0.216,-0.154,0.139,0.046,-0.185,-0.150,-0.366,-0.247,-0.184,-0.184,-0.138
'0:08.757',-0.059,-0.212,-0.153,0.136,0.047,-0.183,-0.131,-0.331,-0.231,-0.188,-0.181,-0.131
