'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.567',-0.050,-0.075,-0.025,0.063,-0.012,-0.050,0.031,-0.075,-0.113,-0.119,-0.137,-0.113
'0:00.568',-0.050,-0.072,-0.022,0.061,-0.014,-0.047,0.028,-0.075,-0.113,-0.116,-0.137,-0.113
'0:00.569',-0.050,-0.072,-0.022,0.061,-0.014,-0.047,0.025,-0.075,-0.113,-0.113,-0.137,-0.113
'0:00.570',-0.053,-0.070,-0.017,0.062,-0.018,-0.044,0.025,-0.072,-0.109,-0.116,-0.134,-0.113
'0:00.571',-0.056,-0.072,-0.016,0.064,-0.021,-0.044,0.025,-0.069,-0.106,-0.119,-0.137,-0.113
'0:00.572',-0.054,-0.070,-0.016,0.063,-0.019,-0.043,0.022,-0.069,-0.103,-0.116,-0.137,-0.113
'0:00.573',-0.056,-0.072,-0.016,0.064,-0.021,-0.044,0.025,-0.063,-0.094,-0.113,-0.131,-0.113
'0:00.574',-0.056,-0.071,-0.014,0.064,-0.021,-0.043,0.025,-0.063,-0.097,-0.113,-0.131,-0.113
'0:00.575',-0.059,-0.069,-0.009,0.064,-0.025,-0.039,0.025,-0.056,-0.094,-0.113,-0.131,-0.113
'0:00.576',-0.055,-0.070,-0.015,0.063,-0.020,-0.043,0.031,-0.053,-0.091,-0.113,-0.134,-0.113
'0:00.577',-0.053,-0.072,-0.019,0.063,-0.017,-0.046,0.037,-0.050,-0.094,-0.113,-0.131,-0.113
'0:00.578',-0.055,-0.072,-0.017,0.064,-0.019,-0.044,0.034,-0.050,-0.094,-0.113,-0.128,-0.116
'0:00.579',-0.053,-0.072,-0.019,0.063,-0.017,-0.046,0.031,-0.044,-0.094,-0.113,-0.131,-0.119
'0:00.580',-0.050,-0.070,-0.020,0.060,-0.015,-0.045,0.031,-0.044,-0.097,-0.113,-0.131,-0.113
'0:00.581',-0.053,-0.072,-0.019,0.063,-0.017,-0.046,0.031,-0.044,-0.094,-0.106,-0.131,-0.113
'0:00.582',-0.053,-0.072,-0.019,0.063,-0.017,-0.046,0.037,-0.044,-0.094,-0.103,-0.131,-0.113
'0:00.583',-0.056,-0.072,-0.016,0.064,-0.021,-0.044,0.037,-0.038,-0.094,-0.100,-0.125,-0.106
'0:00.584',-0.054,-0.069,-0.014,0.062,-0.020,-0.042,0.037,-0.038,-0.097,-0.097,-0.128,-0.103
'0:00.585',-0.056,-0.069,-0.012,0.063,-0.022,-0.041,0.037,-0.038,-0.100,-0.100,-0.131,-0.106
'0:00.586',-0.056,-0.070,-0.014,0.063,-0.021,-0.042,0.041,-0.038,-0.094,-0.100,-0.131,-0.106
'0:00.587',-0.053,-0.069,-0.016,0.061,-0.019,-0.043,0.037,-0.038,-0.094,-0.100,-0.131,-0.106
'0:00.588',-0.051,-0.069,-0.017,0.060,-0.017,-0.043,0.034,-0.038,-0.088,-0.097,-0.128,-0.103
'0:00.589',-0.050,-0.069,-0.019,0.059,-0.016,-0.044,0.037,-0.031,-0.081,-0.094,-0.125,-0.100
'0:00.590',-0.052,-0.064,-0.012,0.058,-0.020,-0.039,0.031,-0.034,-0.081,-0.097,-0.125,-0.100
'0:00.591',-0.047,-0.059,-0.012,0.053,-0.017,-0.036,0.031,-0.031,-0.088,-0.100,-0.119,-0.106
'0:00.592',-0.045,-0.059,-0.014,0.053,-0.016,-0.037,0.025,-0.031,-0.084,-0.094,-0.122,-0.106
'0:00.593',-0.047,-0.056,-0.009,0.052,-0.019,-0.033,0.025,-0.025,-0.081,-0.094,-0.125,-0.106
'0:00.594',-0.045,-0.061,-0.016,0.053,-0.015,-0.038,0.025,-0.028,-0.081,-0.097,-0.122,-0.103
'0:00.595',-0.047,-0.062,-0.016,0.055,-0.016,-0.039,0.025,-0.025,-0.075,-0.100,-0.119,-0.100
'0:00.596',-0.044,-0.061,-0.017,0.053,-0.013,-0.039,0.031,-0.022,-0.075,-0.100,-0.116,-0.100
'0:00.597',-0.044,-0.059,-0.016,0.052,-0.014,-0.038,0.025,-0.019,-0.075,-0.100,-0.119,-0.100
'0:00.598',-0.039,-0.055,-0.016,0.048,-0.012,-0.036,0.025,-0.019,-0.072,-0.094,-0.119,-0.100
'0:00.599',-0.037,-0.056,-0.019,0.047,-0.009,-0.038,0.025,-0.019,-0.075,-0.094,-0.119,-0.100
'0:00.600',-0.033,-0.053,-0.020,0.043,-0.007,-0.037,0.025,-0.019,-0.072,-0.091,-0.116,-0.103
'0:00.601',-0.031,-0.053,-0.022,0.042,-0.005,-0.038,0.025,-0.013,-0.069,-0.088,-0.112,-0.100
'0:00.602',-0.030,-0.050,-0.020,0.040,-0.005,-0.035,0.025,-0.009,-0.066,-0.088,-0.112,-0.100
'0:00.603',-0.031,-0.050,-0.019,0.041,-0.006,-0.034,0.025,-0.006,-0.063,-0.088,-0.112,-0.100
'0:00.604',-0.029,-0.051,-0.022,0.041,-0.004,-0.037,0.028,-0.009,-0.056,-0.084,-0.112,-0.097
'0:00.605',-0.031,-0.053,-0.022,0.042,-0.005,-0.038,0.031,-0.006,-0.056,-0.081,-0.112,-0.094
'0:00.606',-0.034,-0.056,-0.022,0.046,-0.006,-0.039,0.031,-0.006,-0.059,-0.078,-0.106,-0.094
'0:00.607',-0.041,-0.056,-0.016,0.049,-0.012,-0.036,0.031,0.000,-0.056,-0.081,-0.106,-0.094
'0:00.608',-0.039,-0.057,-0.019,0.048,-0.010,-0.038,0.041,0.003,-0.053,-0.081,-0.106,-0.094
'0:00.609',-0.041,-0.059,-0.019,0.050,-0.011,-0.039,0.037,0.006,-0.050,-0.081,-0.106,-0.094
'0:00.610',-0.037,-0.056,-0.019,0.047,-0.009,-0.038,0.031,0.013,-0.050,-0.075,-0.109,-0.094
'0:00.611',-0.034,-0.053,-0.019,0.044,-0.008,-0.036,0.031,0.013,-0.044,-0.075,-0.112,-0.094
'0:00.612',-0.036,-0.053,-0.017,0.044,-0.009,-0.036,0.031,0.009,-0.044,-0.075,-0.106,-0.094
'0:00.613',-0.034,-0.050,-0.016,0.042,-0.009,-0.033,0.031,0.013,-0.044,-0.075,-0.106,-0.094
'0:00.614',-0.036,-0.050,-0.014,0.043,-0.011,-0.033,0.028,0.016,-0.034,-0.072,-0.100,-0.094
'0:00.615',-0.037,-0.050,-0.012,0.044,-0.012,-0.031,0.031,0.019,-0.031,-0.069,-0.094,-0.094
'0:00.616',-0.033,-0.048,-0.015,0.041,-0.009,-0.032,0.034,0.019,-0.031,-0.069,-0.094,-0.088
'0:00.617',-0.031,-0.050,-0.019,0.041,-0.006,-0.034,0.037,0.025,-0.031,-0.069,-0.094,-0.088
'0:00.618',-0.027,-0.051,-0.024,0.039,-0.001,-0.038,0.034,0.025,-0.034,-0.062,-0.097,-0.088
'0:00.619',-0.028,-0.050,-0.022,0.039,-0.003,-0.036,0.037,0.031,-0.031,-0.062,-0.094,-0.088
'0:00.620',-0.025,-0.047,-0.022,0.036,-0.002,-0.034,0.037,0.028,-0.031,-0.066,-0.097,-0.091
'0:00.621',-0.022,-0.044,-0.022,0.033,0.000,-0.033,0.031,0.025,-0.031,-0.062,-0.100,-0.094
'0:00.622',-0.020,-0.042,-0.022,0.031,0.001,-0.032,0.028,0.028,-0.031,-0.059,-0.097,-0.091
'0:00.623',-0.019,-0.041,-0.022,0.030,0.001,-0.031,0.025,0.025,-0.025,-0.056,-0.094,-0.088
'0:00.624',-0.025,-0.042,-0.017,0.034,-0.004,-0.029,0.025,0.025,-0.025,-0.059,-0.084,-0.084
'0:00.625',-0.028,-0.044,-0.016,0.036,-0.006,-0.030,0.025,0.031,-0.019,-0.062,-0.081,-0.081
'0:00.626',-0.027,-0.042,-0.016,0.035,-0.006,-0.029,0.025,0.034,-0.019,-0.056,-0.081,-0.078
'0:00.627',-0.022,-0.038,-0.016,0.030,-0.003,-0.027,0.025,0.038,-0.019,-0.056,-0.081,-0.081
'0:00.628',-0.017,-0.039,-0.022,0.029,0.002,-0.031,0.025,0.044,-0.013,-0.050,-0.078,-0.081
'0:00.629',-0.016,-0.038,-0.022,0.027,0.003,-0.030,0.025,0.050,-0.013,-0.050,-0.081,-0.081
'0:00.630',-0.011,-0.039,-0.027,0.025,0.008,-0.033,0.025,0.053,-0.013,-0.047,-0.081,-0.081
'0:00.631',-0.012,-0.038,-0.025,0.025,0.006,-0.031,0.025,0.056,-0.013,-0.044,-0.081,-0.075
'0:00.632',-0.017,-0.038,-0.021,0.028,0.002,-0.029,0.025,0.063,-0.009,-0.038,-0.075,-0.075
'0:00.633',-0.016,-0.038,-0.022,0.027,0.003,-0.030,0.025,0.063,-0.006,-0.038,-0.075,-0.075
'0:00.634',-0.016,-0.038,-0.022,0.027,0.003,-0.030,0.034,0.069,-0.003,-0.031,-0.069,-0.078
'0:00.635',-0.012,-0.038,-0.025,0.025,0.006,-0.031,0.031,0.069,0.000,-0.031,-0.069,-0.081
'0:00.636',-0.008,-0.036,-0.027,0.022,0.009,-0.032,0.022,0.075,0.006,-0.034,-0.066,-0.081
'0:00.637',-0.006,-0.034,-0.028,0.021,0.011,-0.031,0.019,0.075,0.006,-0.038,-0.063,-0.081
'0:00.638',-0.011,-0.031,-0.021,0.021,0.005,-0.026,0.025,0.081,0.006,-0.031,-0.066,-0.075
'0:00.639',-0.009,-0.031,-0.022,0.021,0.006,-0.027,0.025,0.081,0.013,-0.031,-0.063,-0.075
'0:00.640',-0.006,-0.032,-0.026,0.019,0.010,-0.029,0.028,0.088,0.022,-0.031,-0.059,-0.072
'0:00.641',-0.003,-0.031,-0.028,0.018,0.013,-0.030,0.025,0.094,0.025,-0.025,-0.056,-0.069
'0:00.642',-0.001,-0.027,-0.026,0.014,0.012,-0.026,0.019,0.091,0.022,-0.019,-0.053,-0.069
'0:00.643',0.000,-0.019,-0.019,0.009,0.009,-0.019,0.019,0.094,0.025,-0.019,-0.056,-0.069
'0:00.644',0.000,-0.019,-0.019,0.009,0.009,-0.019,0.022,0.100,0.025,-0.013,-0.050,-0.066
'0:00.645',0.000,-0.019,-0.019,0.009,0.009,-0.019,0.019,0.100,0.025,-0.019,-0.050,-0.069
'0:00.646',0.000,-0.020,-0.020,0.010,0.010,-0.020,0.022,0.100,0.031,-0.009,-0.050,-0.069
'0:00.647',0.000,-0.022,-0.022,0.011,0.011,-0.022,0.031,0.106,0.038,-0.006,-0.044,-0.069
'0:00.648',0.000,-0.022,-0.022,0.011,0.011,-0.022,0.031,0.116,0.041,-0.006,-0.044,-0.066
'0:00.649',0.000,-0.025,-0.025,0.013,0.013,-0.025,0.031,0.119,0.044,0.000,-0.038,-0.056
'0:00.650',-0.003,-0.025,-0.022,0.014,0.009,-0.024,0.028,0.122,0.047,0.006,-0.034,-0.056
'0:00.651',0.000,-0.022,-0.022,0.011,0.011,-0.022,0.031,0.119,0.050,0.006,-0.031,-0.050
'0:00.652',0.006,-0.017,-0.024,0.006,0.015,-0.021,0.031,0.125,0.050,0.009,-0.022,-0.053
'0:00.653',0.016,-0.013,-0.028,-0.001,0.022,-0.021,0.031,0.131,0.056,0.019,-0.019,-0.044
'0:00.654',0.017,-0.013,-0.029,-0.002,0.023,-0.021,0.031,0.138,0.063,0.019,-0.019,-0.044
'0:00.655',0.019,-0.009,-0.028,-0.004,0.023,-0.019,0.031,0.138,0.063,0.019,-0.013,-0.044
'0:00.656',0.016,-0.011,-0.026,-0.003,0.021,-0.019,0.031,0.144,0.066,0.019,-0.016,-0.041
'0:00.657',0.012,-0.009,-0.022,-0.001,0.017,-0.016,0.031,0.150,0.069,0.019,-0.013,-0.044
'0:00.658',0.012,-0.013,-0.025,0.000,0.019,-0.019,0.028,0.156,0.072,0.025,-0.013,-0.038
'0:00.659',0.009,-0.013,-0.022,0.002,0.016,-0.018,0.025,0.163,0.081,0.025,-0.006,-0.038
'0:00.660',0.009,-0.009,-0.019,0.000,0.014,-0.014,0.028,0.166,0.084,0.037,0.000,-0.041
'0:00.661',0.009,-0.006,-0.016,-0.001,0.013,-0.011,0.031,0.175,0.094,0.044,0.000,-0.038
'0:00.662',0.012,-0.003,-0.016,-0.004,0.014,-0.009,0.031,0.181,0.100,0.044,0.003,-0.038
'0:00.663',0.019,0.003,-0.016,-0.011,0.017,-0.006,0.031,0.188,0.106,0.044,0.000,-0.038
'0:00.664',0.022,0.005,-0.017,-0.013,0.019,-0.006,0.031,0.191,0.103,0.044,0.006,-0.031
'0:00.665',0.022,0.006,-0.016,-0.014,0.019,-0.005,0.031,0.194,0.106,0.050,0.006,-0.031
'0:00.666',0.021,0.005,-0.016,-0.012,0.018,-0.006,0.031,0.203,0.116,0.059,0.016,-0.031
'0:00.667',0.019,0.006,-0.012,-0.012,0.016,-0.003,0.031,0.206,0.119,0.062,0.019,-0.025
'0:00.668',0.016,0.008,-0.008,-0.011,0.012,-0.001,0.034,0.213,0.119,0.069,0.022,-0.025
'0:00.669',0.019,0.013,-0.006,-0.016,0.013,0.003,0.031,0.219,0.119,0.069,0.025,-0.019
'0:00.670',0.018,0.014,-0.003,-0.016,0.010,0.006,0.028,0.225,0.128,0.072,0.025,-0.013
'0:00.671',0.019,0.019,0.000,-0.019,0.009,0.009,0.025,0.231,0.138,0.075,0.031,-0.006
'0:00.672',0.022,0.023,0.001,-0.022,0.010,0.012,0.031,0.241,0.144,0.084,0.034,-0.006
'0:00.673',0.025,0.025,0.000,-0.025,0.013,0.012,0.031,0.244,0.150,0.088,0.038,-0.006
'0:00.674',0.028,0.028,0.000,-0.028,0.014,0.014,0.025,0.253,0.156,0.094,0.047,-0.003
'0:00.675',0.034,0.038,0.003,-0.036,0.016,0.020,0.025,0.263,0.163,0.100,0.050,0.000
'0:00.676',0.031,0.033,0.002,-0.032,0.014,0.017,0.028,0.269,0.172,0.106,0.056,0.009
'0:00.677',0.031,0.038,0.006,-0.034,0.013,0.022,0.031,0.281,0.188,0.112,0.063,0.012
'0:00.678',0.034,0.039,0.005,-0.037,0.014,0.022,0.031,0.288,0.197,0.125,0.075,0.016
'0:00.679',0.034,0.041,0.006,-0.038,0.014,0.023,0.031,0.300,0.206,0.131,0.081,0.019
'0:00.680',0.038,0.042,0.005,-0.040,0.016,0.024,0.028,0.306,0.209,0.134,0.084,0.022
'0:00.681',0.044,0.044,0.000,-0.044,0.022,0.022,0.019,0.313,0.213,0.137,0.087,0.019
'0:00.682',0.048,0.053,0.005,-0.051,0.021,0.029,0.019,0.316,0.219,0.144,0.091,0.019
'0:00.683',0.059,0.059,0.000,-0.059,0.029,0.029,0.019,0.325,0.225,0.150,0.094,0.025
'0:00.684',0.059,0.062,0.003,-0.061,0.028,0.033,0.022,0.334,0.234,0.156,0.103,0.028
'0:00.685',0.063,0.066,0.003,-0.064,0.029,0.034,0.019,0.344,0.244,0.163,0.106,0.037
'0:00.686',0.063,0.066,0.003,-0.064,0.029,0.034,0.016,0.353,0.250,0.169,0.116,0.037
'0:00.687',0.063,0.069,0.006,-0.066,0.028,0.037,0.012,0.369,0.263,0.175,0.125,0.044
'0:00.688',0.072,0.075,0.003,-0.073,0.034,0.039,0.009,0.372,0.275,0.178,0.128,0.050
'0:00.689',0.078,0.081,0.003,-0.079,0.038,0.042,0.006,0.381,0.281,0.187,0.131,0.050
'0:00.690',0.074,0.084,0.011,-0.079,0.031,0.047,0.006,0.384,0.288,0.197,0.144,0.056
'0:00.691',0.078,0.087,0.009,-0.082,0.034,0.048,0.006,0.394,0.294,0.206,0.150,0.062
'0:00.692',0.075,0.094,0.019,-0.084,0.028,0.056,0.006,0.409,0.306,0.212,0.150,0.066
'0:00.693',0.075,0.097,0.022,-0.086,0.026,0.059,0.000,0.419,0.319,0.219,0.162,0.075
'0:00.694',0.083,0.101,0.019,-0.092,0.032,0.060,0.006,0.431,0.328,0.231,0.166,0.078
'0:00.695',0.091,0.109,0.019,-0.100,0.036,0.064,0.000,0.438,0.338,0.238,0.169,0.081
'0:00.696',0.098,0.111,0.013,-0.104,0.043,0.062,0.000,0.453,0.353,0.238,0.178,0.081
'0:00.697',0.100,0.116,0.016,-0.107,0.042,0.066,0.000,0.463,0.363,0.250,0.188,0.087
'0:00.698',0.103,0.120,0.017,-0.111,0.043,0.068,0.000,0.475,0.369,0.259,0.197,0.097
'0:00.699',0.103,0.125,0.022,-0.114,0.041,0.073,-0.006,0.487,0.381,0.269,0.206,0.100
'0:00.700',0.105,0.127,0.022,-0.116,0.041,0.074,0.000,0.497,0.394,0.281,0.213,0.106
'0:00.701',0.106,0.131,0.025,-0.119,0.041,0.078,-0.006,0.512,0.400,0.287,0.219,0.112
'0:00.702',0.111,0.134,0.024,-0.123,0.043,0.079,-0.006,0.516,0.409,0.291,0.225,0.119
'0:00.703',0.116,0.141,0.025,-0.128,0.045,0.082,-0.006,0.525,0.419,0.300,0.231,0.119
'0:00.704',0.121,0.144,0.023,-0.132,0.049,0.083,-0.003,0.534,0.422,0.306,0.241,0.125
'0:00.705',0.122,0.150,0.028,-0.136,0.047,0.089,-0.006,0.550,0.431,0.313,0.244,0.131
'0:00.706',0.124,0.155,0.031,-0.139,0.046,0.093,-0.006,0.556,0.438,0.319,0.250,0.128
'0:00.707',0.125,0.156,0.031,-0.141,0.047,0.094,-0.006,0.569,0.450,0.325,0.256,0.131
'0:00.708',0.126,0.163,0.036,-0.144,0.045,0.099,-0.009,0.572,0.463,0.334,0.256,0.141
'0:00.709',0.128,0.169,0.041,-0.148,0.044,0.104,-0.013,0.581,0.475,0.344,0.269,0.150
'0:00.710',0.130,0.174,0.044,-0.152,0.043,0.109,-0.009,0.591,0.491,0.359,0.278,0.150
'0:00.711',0.134,0.172,0.037,-0.153,0.048,0.104,-0.013,0.600,0.500,0.369,0.287,0.156
'0:00.712',0.141,0.175,0.034,-0.158,0.053,0.104,-0.013,0.616,0.506,0.366,0.287,0.162
'0:00.713',0.141,0.181,0.041,-0.161,0.050,0.111,-0.013,0.625,0.513,0.375,0.300,0.169
'0:00.714',0.145,0.184,0.039,-0.164,0.053,0.112,-0.009,0.634,0.525,0.381,0.309,0.169
'0:00.715',0.150,0.191,0.041,-0.170,0.054,0.116,-0.006,0.644,0.531,0.388,0.319,0.175
'0:00.716',0.150,0.194,0.044,-0.172,0.053,0.119,-0.019,0.650,0.538,0.394,0.316,0.175
'0:00.717',0.156,0.194,0.037,-0.175,0.059,0.116,-0.025,0.650,0.544,0.400,0.325,0.181
'0:00.718',0.158,0.203,0.045,-0.181,0.056,0.124,-0.019,0.666,0.553,0.412,0.328,0.187
'0:00.719',0.156,0.212,0.056,-0.184,0.050,0.134,-0.025,0.669,0.569,0.425,0.337,0.187
'0:00.720',0.166,0.214,0.049,-0.190,0.058,0.131,-0.025,0.672,0.566,0.425,0.347,0.194
'0:00.721',0.172,0.219,0.047,-0.195,0.063,0.132,-0.025,0.675,0.575,0.431,0.356,0.194
'0:00.722',0.175,0.216,0.041,-0.195,0.067,0.128,-0.025,0.684,0.584,0.441,0.353,0.206
'0:00.723',0.175,0.216,0.041,-0.195,0.067,0.128,-0.025,0.694,0.588,0.444,0.356,0.212
'0:00.724',0.175,0.219,0.044,-0.197,0.066,0.131,-0.025,0.703,0.594,0.447,0.366,0.206
'0:00.725',0.178,0.222,0.044,-0.200,0.067,0.132,-0.025,0.712,0.600,0.450,0.375,0.206
'0:00.726',0.175,0.225,0.050,-0.200,0.063,0.137,-0.025,0.719,0.606,0.459,0.378,0.219
'0:00.727',0.175,0.228,0.053,-0.201,0.061,0.141,-0.025,0.731,0.613,0.469,0.388,0.225
'0:00.728',0.178,0.234,0.056,-0.206,0.061,0.145,-0.025,0.731,0.616,0.469,0.381,0.228
'0:00.729',0.175,0.241,0.066,-0.207,0.054,0.153,-0.025,0.731,0.619,0.475,0.381,0.225
'0:00.730',0.177,0.244,0.067,-0.210,0.055,0.155,-0.031,0.737,0.628,0.475,0.391,0.231
'0:00.731',0.175,0.247,0.072,-0.211,0.051,0.159,-0.031,0.737,0.631,0.481,0.394,0.231
'0:00.732',0.178,0.249,0.071,-0.213,0.054,0.159,-0.031,0.734,0.638,0.478,0.394,0.228
'0:00.733',0.178,0.250,0.072,-0.214,0.053,0.161,-0.031,0.737,0.638,0.481,0.400,0.231
'0:00.734',0.186,0.254,0.069,-0.220,0.058,0.161,-0.031,0.734,0.634,0.481,0.406,0.234
'0:00.735',0.191,0.259,0.069,-0.225,0.061,0.164,-0.031,0.737,0.638,0.487,0.406,0.237
'0:00.736',0.184,0.256,0.072,-0.220,0.056,0.164,-0.034,0.744,0.650,0.491,0.413,0.247
'0:00.737',0.181,0.259,0.078,-0.220,0.051,0.169,-0.038,0.750,0.656,0.494,0.413,0.250
'0:00.738',0.183,0.259,0.077,-0.221,0.053,0.168,-0.038,0.750,0.656,0.494,0.416,0.250
'0:00.739',0.181,0.259,0.078,-0.220,0.051,0.169,-0.038,0.750,0.656,0.494,0.419,0.250
'0:00.740',0.181,0.264,0.083,-0.222,0.049,0.173,-0.038,0.750,0.656,0.497,0.416,0.253
'0:00.741',0.181,0.266,0.084,-0.223,0.048,0.175,-0.038,0.750,0.656,0.494,0.419,0.250
'0:00.742',0.181,0.264,0.083,-0.222,0.049,0.174,-0.038,0.750,0.659,0.494,0.409,0.250
'0:00.743',0.181,0.266,0.084,-0.223,0.048,0.175,-0.038,0.750,0.663,0.494,0.413,0.250
'0:00.744',0.181,0.266,0.084,-0.223,0.048,0.175,-0.038,0.750,0.656,0.494,0.413,0.250
'0:00.745',0.178,0.266,0.088,-0.222,0.045,0.176,-0.038,0.750,0.656,0.494,0.413,0.250
'0:00.746',0.181,0.267,0.086,-0.224,0.048,0.176,-0.038,0.747,0.653,0.494,0.409,0.253
'0:00.747',0.178,0.269,0.091,-0.223,0.044,0.179,-0.038,0.737,0.644,0.500,0.413,0.250
'0:00.748',0.176,0.272,0.096,-0.224,0.040,0.184,-0.038,0.731,0.644,0.494,0.409,0.253
'0:00.749',0.175,0.272,0.097,-0.223,0.039,0.184,-0.038,0.725,0.638,0.487,0.406,0.256
'0:00.750',0.176,0.270,0.094,-0.223,0.041,0.182,-0.034,0.719,0.628,0.484,0.409,0.253
'0:00.751',0.175,0.269,0.094,-0.222,0.041,0.181,-0.038,0.706,0.625,0.475,0.406,0.256
'0:00.752',0.175,0.269,0.094,-0.222,0.041,0.181,-0.031,0.703,0.613,0.472,0.397,0.253
'0:00.753',0.175,0.269,0.094,-0.222,0.041,0.181,-0.031,0.694,0.606,0.469,0.394,0.244
'0:00.754',0.175,0.266,0.091,-0.220,0.042,0.178,-0.034,0.675,0.591,0.459,0.388,0.244
'0:00.755',0.169,0.263,0.094,-0.216,0.038,0.178,-0.031,0.662,0.581,0.450,0.381,0.237
'0:00.756',0.166,0.259,0.094,-0.212,0.036,0.176,-0.031,0.647,0.569,0.434,0.375,0.234
'0:00.757',0.166,0.259,0.094,-0.212,0.036,0.176,-0.031,0.631,0.556,0.419,0.363,0.225
'0:00.758',0.159,0.255,0.096,-0.207,0.032,0.175,-0.031,0.625,0.544,0.416,0.359,0.222
'0:00.759',0.150,0.250,0.100,-0.200,0.025,0.175,-0.025,0.612,0.531,0.406,0.350,0.219
'0:00.760',0.148,0.247,0.099,-0.197,0.024,0.172,-0.019,0.594,0.516,0.397,0.341,0.209
'0:00.761',0.150,0.247,0.097,-0.198,0.026,0.172,-0.019,0.575,0.500,0.381,0.325,0.200
'0:00.762',0.147,0.242,0.096,-0.194,0.026,0.169,-0.019,0.562,0.491,0.372,0.322,0.197
'0:00.763',0.134,0.231,0.097,-0.183,0.019,0.164,-0.019,0.544,0.475,0.363,0.312,0.194
'0:00.764',0.127,0.227,0.100,-0.177,0.013,0.163,-0.009,0.528,0.456,0.350,0.300,0.191
'0:00.765',0.116,0.219,0.103,-0.167,0.006,0.161,-0.006,0.512,0.444,0.337,0.294,0.181
'0:00.766',0.111,0.205,0.094,-0.158,0.009,0.149,-0.003,0.503,0.425,0.325,0.281,0.175
'0:00.767',0.100,0.194,0.094,-0.147,0.003,0.144,0.000,0.487,0.413,0.313,0.275,0.169
'0:00.768',0.095,0.189,0.094,-0.142,0.001,0.141,0.006,0.469,0.388,0.300,0.262,0.162
'0:00.769',0.091,0.184,0.094,-0.137,-0.002,0.139,0.006,0.444,0.369,0.287,0.250,0.156
'0:00.770',0.089,0.174,0.085,-0.131,0.002,0.129,0.012,0.425,0.350,0.272,0.234,0.150
'0:00.771',0.084,0.166,0.081,-0.125,0.001,0.123,0.012,0.406,0.338,0.256,0.219,0.144
'0:00.772',0.084,0.158,0.074,-0.121,0.005,0.116,0.012,0.394,0.319,0.238,0.209,0.137
'0:00.773',0.078,0.150,0.072,-0.114,0.003,0.111,0.012,0.375,0.300,0.219,0.194,0.131
'0:00.774',0.076,0.141,0.064,-0.108,0.006,0.102,0.016,0.353,0.281,0.206,0.181,0.116
'0:00.775',0.075,0.141,0.066,-0.107,0.004,0.103,0.012,0.331,0.263,0.194,0.169,0.106
'0:00.776',0.073,0.134,0.061,-0.104,0.006,0.097,0.016,0.316,0.247,0.181,0.156,0.094
'0:00.777',0.069,0.125,0.056,-0.097,0.006,0.091,0.019,0.294,0.231,0.169,0.150,0.087
'0:00.778',0.066,0.117,0.051,-0.091,0.007,0.084,0.025,0.284,0.216,0.156,0.137,0.081
'0:00.779',0.066,0.109,0.044,-0.088,0.011,0.076,0.025,0.269,0.200,0.144,0.125,0.075
'0:00.780',0.059,0.102,0.043,-0.081,0.008,0.072,0.022,0.253,0.184,0.131,0.116,0.059
'0:00.781',0.053,0.091,0.037,-0.072,0.008,0.064,0.019,0.238,0.163,0.119,0.100,0.056
'0:00.782',0.050,0.081,0.031,-0.066,0.009,0.056,0.025,0.216,0.150,0.106,0.097,0.044
'0:00.783',0.044,0.069,0.025,-0.056,0.009,0.047,0.025,0.200,0.131,0.100,0.087,0.037
'0:00.784',0.038,0.061,0.023,-0.049,0.007,0.042,0.025,0.191,0.125,0.084,0.072,0.041
'0:00.785',0.034,0.056,0.022,-0.045,0.006,0.039,0.025,0.175,0.106,0.069,0.063,0.031
'0:00.786',0.032,0.054,0.022,-0.043,0.005,0.038,0.025,0.159,0.091,0.056,0.056,0.025
'0:00.787',0.028,0.047,0.019,-0.038,0.004,0.033,0.025,0.144,0.075,0.050,0.044,0.019
'0:00.788',0.028,0.036,0.008,-0.032,0.010,0.022,0.025,0.134,0.066,0.037,0.041,0.016
'0:00.789',0.022,0.028,0.006,-0.025,0.008,0.017,0.025,0.125,0.050,0.031,0.031,0.012
'0:00.790',0.016,0.019,0.003,-0.017,0.006,0.011,0.025,0.109,0.041,0.025,0.022,0.000
'0:00.791',0.006,0.009,0.003,-0.007,0.001,0.006,0.031,0.094,0.031,0.013,0.013,-0.013
'0:00.792',0.006,-0.001,-0.007,-0.003,0.007,-0.004,0.031,0.081,0.019,-0.003,0.006,-0.009
'0:00.793',0.006,-0.006,-0.012,0.000,0.009,-0.009,0.031,0.069,0.006,-0.013,-0.006,-0.019
'0:00.794',0.003,-0.011,-0.014,0.004,0.009,-0.013,0.025,0.056,-0.006,-0.016,-0.013,-0.025
'0:00.795',0.003,-0.016,-0.019,0.006,0.011,-0.018,0.025,0.050,-0.013,-0.025,-0.019,-0.025
'0:00.796',0.004,-0.024,-0.028,0.010,0.016,-0.026,0.031,0.034,-0.028,-0.034,-0.025,-0.034
'0:00.797',0.003,-0.025,-0.028,0.011,0.016,-0.027,0.037,0.025,-0.038,-0.044,-0.031,-0.038
'0:00.798',-0.003,-0.034,-0.031,0.019,0.014,-0.033,0.037,0.013,-0.044,-0.050,-0.034,-0.041
'0:00.799',-0.012,-0.041,-0.028,0.027,0.008,-0.034,0.037,0.006,-0.050,-0.056,-0.038,-0.044
